Knowledge [      /4],,,,,,
"Demonstrate an understanding of uniform and non-uniform linear motion, in one and two dimensions",Not Attempted,Developing,Understanding,Mastery,,
,[0],[2],[3],[4],Notes,
"-       distinguish between the terms constant, instantaneous, and average with reference to speed, velocity, and acceleration",,,,,,
-       distinguish between scalar and vector quantities as they relate to uniform and non-uniform linear motion,,,,,,
-       describe the characteristics and give examples of a projectile’s motion in vertical and horizontal planes,,,,,,
 ,,,,,,
Thinking [   /8],,,,,,
"1: Investigate, in qualitative and quantitative terms, uniform and non-uniform linear motion, and solve related problems [       /4]",Not Attempted,Developing,Understanding,Mastery,,
,[0],[2],[3],[4],Notes,
"-       analyse and interpret position–time, velocity– time, and acceleration–time graphs of motion in one dimension",,,,,,
"-       solve problems involving distance, position, and displacement",,,,,,
-       solve related problems using graphical analysis ,,,,,,
-       solve related problems using algebraic equations,,,,,,
-       solve problems related to the motion of a projectile ,,,,,,
,Not Attempted,Developing,Understanding,Mastery,,
2: Kinematic Labs  [       /4],[0],[2],[3],[4],Notes,
-       conduct an inquiry into the uniform and non-uniform linear motion of an object,,,,,,
-       plan and conduct an inquiry into the motion of objects in one dimension,,,,,,
-       conduct an inquiry into the projectile motion of an object,,,,,,
,,,,,,
,,,,,,
,,,,,,
Communication [   /4],Assessment,Developing [2],Understanding [3],Mastery [4],,
,Distance Quiz,,,,,
-       Organizes ideas in a clear and logical manner,,,,,,
-       Communicates appropriately for audience (test vs. lab),,,,,,
-       Uses appropriate terminology ,,,,,,
-       Uses appropriate symbols,Lab 1,,,,,
-       Uses appropriate formulae,Graphing Quiz,,,,,
-       Uses appropriate scientific notation,Lab 2,,,,,
-       Uses appropriate significant digits,Kinematics Test,,,,,
*Mark is averaged from all assessments,Projectiles Quest,,,,,
,,,,,,
Application [   /4],Not Attempted,Developing,Understanding,Mastery,Notes,
"Analyse technologies that apply concepts related to kinematics, and assess the technologies’ social and environmental impact",[0],[2],[3],[4],,
"-       analyse, on the basis of research, a technology that applies concepts related to kinematics",,,,,,
-       assess the impact on society and the environment of a technology that applies concepts related to kinematics,,,,,,
